year,disease,sido,sigungu,gender,age_group,patients,visit_days,cost,context_key,visit_days_per_patient,cost_per_patient
2024,ADHD,서울,강동구,여,40~49세,100,641,49311880,adhd,6.41,493118.8
2024,ADHD,서울,강동구,여,50~59세,18,123,10695900,adhd,6.833333333333333,594216.6666666666
2024,ADHD,서울,강동구,여,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,여,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,여,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,여,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강동구,여,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,남,0~9세,505,3496,271633420,adhd,6.922772277227723,537887.9603960396
2024,ADHD,서울,강서구,남,10~19세,811,6124,478333460,adhd,7.551171393341554,589806.9790382244
2024,ADHD,서울,강서구,남,20~29세,409,2799,258883370,adhd,6.843520782396088,632966.6748166259
2024,ADHD,서울,강서구,남,30~39세,349,2432,260651670,adhd,6.9684813753581665,746852.9226361031
2024,ADHD,서울,강서구,남,40~49세,80,589,56257760,adhd,7.3625,703222.0
2024,ADHD,서울,강서구,남,50~59세,16,101,7129000,adhd,6.3125,445562.5
2024,ADHD,서울,강서구,남,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,남,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,남,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,남,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,남,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,여,0~9세,154,998,84851560,adhd,6.48051948051948,550984.1558441558
2024,ADHD,서울,강서구,여,10~19세,356,2221,191619430,adhd,6.23876404494382,538256.8258426966
2024,ADHD,서울,강서구,여,20~29세,601,3953,427882200,adhd,6.577371048252912,711950.4159733776
2024,ADHD,서울,강서구,여,30~39세,350,2340,257604310,adhd,6.685714285714286,736012.3142857143
2024,ADHD,서울,강서구,여,40~49세,69,464,48285500,adhd,6.72463768115942,699789.8550724637
2024,ADHD,서울,강서구,여,50~59세,10,81,6999950,adhd,8.1,699995.0
2024,ADHD,서울,강서구,여,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,여,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,여,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,여,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강서구,여,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,남,0~9세,225,1751,182143450,adhd,7.782222222222222,809526.4444444445
2024,ADHD,서울,관악구,남,10~19세,416,3118,395812670,adhd,7.4951923076923075,951472.7644230769
2024,ADHD,서울,관악구,남,20~29세,754,5608,542442910,adhd,7.437665782493369,719420.3050397878
2024,ADHD,서울,관악구,남,30~39세,534,3913,378058250,adhd,7.3277153558052435,707974.2509363296
2024,ADHD,서울,관악구,남,40~49세,53,384,37287770,adhd,7.245283018867925,703542.8301886793
2024,ADHD,서울,관악구,남,50~59세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,남,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,남,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,남,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,남,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,남,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,여,0~9세,53,398,39105500,adhd,7.509433962264151,737839.6226415094
2024,ADHD,서울,관악구,여,10~19세,209,1502,170681820,adhd,7.186602870813397,816659.4258373206
2024,ADHD,서울,관악구,여,20~29세,979,7061,747769770,adhd,7.212461695607763,763809.7752808989
2024,ADHD,서울,관악구,여,30~39세,478,3860,422799780,adhd,8.07531380753138,884518.3682008368
2024,ADHD,서울,관악구,여,40~49세,56,369,39527210,adhd,6.589285714285714,705843.0357142857
2024,ADHD,서울,관악구,여,50~59세,13,47,4950070,adhd,3.6153846153846154,380774.6153846154
2024,ADHD,서울,관악구,여,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,여,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,여,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,여,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,관악구,여,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,남,0~9세,441,2624,161301840,adhd,5.950113378684807,365763.8095238095
2024,ADHD,서울,구로구,남,10~19세,625,4141,258008780,adhd,6.6256,412814.048
2024,ADHD,서울,구로구,남,20~29세,382,2778,241484480,adhd,7.272251308900524,632158.3246073298
2024,ADHD,서울,구로구,남,30~39세,306,2115,204203100,adhd,6.911764705882353,667330.3921568628
2024,ADHD,서울,구로구,남,40~49세,59,389,38626530,adhd,6.593220338983051,654686.9491525424
2024,ADHD,서울,구로구,남,50~59세,16,84,6676650,adhd,5.25,417290.625
2024,ADHD,서울,구로구,남,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,남,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,남,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,남,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,남,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,여,0~9세,133,683,45382700,adhd,5.135338345864661,341223.3082706767
2024,ADHD,서울,구로구,여,10~19세,258,1684,152341110,adhd,6.5271317829457365,590469.4186046511
2024,ADHD,서울,구로구,여,20~29세,585,4010,396025210,adhd,6.854700854700854,676966.170940171
2024,ADHD,서울,구로구,여,30~39세,375,2657,266064490,adhd,7.085333333333334,709505.3066666666
2024,ADHD,서울,구로구,여,40~49세,80,606,51081460,adhd,7.575,638518.25
2024,ADHD,서울,구로구,여,50~59세,17,88,6561860,adhd,5.176470588235294,385991.76470588235
2024,ADHD,서울,구로구,여,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,여,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,여,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,여,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,구로구,여,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,남,0~9세,153,1321,89762640,adhd,8.633986928104575,586683.9215686275
2024,ADHD,서울,도봉구,남,10~19세,226,1852,141882070,adhd,8.194690265486726,627796.7699115045
2024,ADHD,서울,도봉구,남,20~29세,173,1369,71516970,adhd,7.913294797687861,413392.8901734104
2024,ADHD,서울,도봉구,남,30~39세,103,911,43448510,adhd,8.844660194174757,421830.1941747573
2024,ADHD,서울,도봉구,남,40~49세,29,236,11893890,adhd,8.137931034482758,410134.1379310345
2024,ADHD,서울,도봉구,남,50~59세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,남,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,남,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,남,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,남,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,남,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,여,0~9세,53,384,27334040,adhd,7.245283018867925,515736.6037735849
2024,ADHD,서울,도봉구,여,10~19세,120,994,64974280,adhd,8.283333333333333,541452.3333333334
2024,ADHD,서울,도봉구,여,20~29세,235,1692,82965920,adhd,7.2,353046.4680851064
2024,ADHD,서울,도봉구,여,30~39세,100,759,36174130,adhd,7.59,361741.3
2024,ADHD,서울,도봉구,여,40~49세,21,166,8870880,adhd,7.904761904761905,422422.85714285716
2024,ADHD,서울,도봉구,여,50~59세,10,100,3355470,adhd,10.0,335547.0
2024,ADHD,서울,도봉구,여,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,여,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,여,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,여,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,도봉구,여,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,동대문구,남,0~9세,153,885,83444520,adhd,5.784313725490196,545389.0196078431
2024,ADHD,서울,동대문구,남,10~19세,384,2865,278085190,adhd,7.4609375,724180.1822916666
2024,ADHD,서울,동대문구,남,20~29세,543,3776,418062460,adhd,6.953959484346225,769912.4493554328
2024,ADHD,서울,동대문구,남,30~39세,255,1789,190059810,adhd,7.015686274509804,745332.5882352941
