진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2024,ADHD,강원,횡성군,남,0 ,0 ,0 
2024,ADHD,강원,횡성군,여,0 ,0 ,0 
2024,ADHD,강원,강릉시,남,612 ,3659 ,296831010 
2024,ADHD,강원,강릉시,여,254 ,1403 ,110216600 
2024,ADHD,강원,동해시,남,12 ,34 ,1831490 
2024,ADHD,강원,동해시,여,0 ,0 ,0 
2024,ADHD,강원,속초시,남,32 ,189 ,7384810 
2024,ADHD,강원,속초시,여,20 ,112 ,4287990 
2024,ADHD,강원,원주시,남,1217 ,8530 ,778398120 
2024,ADHD,강원,원주시,여,584 ,3643 ,287259090 
2024,ADHD,강원,춘천시,남,1077 ,6740 ,425480750 
2024,ADHD,강원,춘천시,여,483 ,2569 ,195272650 
2024,ADHD,강원,태백시,남,11 ,112 ,7436530 
2024,ADHD,강원,태백시,여,0 ,0 ,0 
2024,ADHD,강원,삼척시,남,87 ,647 ,65658840 
2024,ADHD,강원,삼척시,여,109 ,722 ,75230120 
2024,ADHD,충북,괴산군,남,11 ,38 ,2005630 
2024,ADHD,충북,괴산군,여,0 ,0 ,0 
2024,ADHD,충북,단양군,남,0 ,0 ,0 
2024,ADHD,충북,단양군,여,0 ,0 ,0 
2024,ADHD,충북,보은군,남,10 ,176 ,15369900 
2024,ADHD,충북,보은군,여,0 ,0 ,0 
2024,ADHD,충북,영동군,남,11 ,83 ,3446970 
2024,ADHD,충북,영동군,여,0 ,0 ,0 
2024,ADHD,충북,옥천군,남,11 ,34 ,1371950 
2024,ADHD,충북,옥천군,여,0 ,0 ,0 
2024,ADHD,충북,음성군,남,30 ,265 ,21579010 
2024,ADHD,충북,음성군,여,0 ,0 ,0 
2024,ADHD,충북,진천군,남,73 ,404 ,36510130 
2024,ADHD,충북,진천군,여,51 ,289 ,23096880 
2024,ADHD,충북,증평군,남,0 ,0 ,0 
2024,ADHD,충북,증평군,여,0 ,0 ,0 
2024,ADHD,충북,청주상당구,남,351 ,2012 ,192247420 
2024,ADHD,충북,청주상당구,여,277 ,1397 ,142579400 
2024,ADHD,충북,청주흥덕구,남,1539 ,9763 ,697840260 
2024,ADHD,충북,청주흥덕구,여,792 ,4920 ,335732280 
2024,ADHD,충북,청주청원구,남,617 ,3342 ,247045420 
2024,ADHD,충북,청주청원구,여,361 ,2246 ,159550080 
2024,ADHD,충북,청주서원구,남,366 ,1529 ,116410080 
2024,ADHD,충북,청주서원구,여,86 ,293 ,21886970 
2024,ADHD,충북,충주시,남,272 ,2172 ,152150100 
2024,ADHD,충북,충주시,여,70 ,628 ,47996580 
2024,ADHD,충북,제천시,남,30 ,263 ,18536270 
2024,ADHD,충북,제천시,여,0 ,0 ,0 
2024,ADHD,충남,금산군,남,35 ,337 ,18975180 
2024,ADHD,충남,금산군,여,0 ,0 ,0 
2024,ADHD,충남,부여군,남,25 ,74 ,3762580 
2024,ADHD,충남,부여군,여,0 ,0 ,0 
2024,ADHD,충남,서천군,남,0 ,0 ,0 
2024,ADHD,충남,서천군,여,0 ,0 ,0 
2024,ADHD,충남,예산군,남,210 ,1579 ,145182110 
2024,ADHD,충남,예산군,여,108 ,695 ,63174330 
2024,ADHD,충남,청양군,남,0 ,0 ,0 
2024,ADHD,충남,청양군,여,0 ,0 ,0 
2024,ADHD,충남,홍성군,남,34 ,244 ,21178390 
2024,ADHD,충남,홍성군,여,22 ,113 ,10281010 
2024,ADHD,충남,태안군,남,0 ,0 ,0 
2024,ADHD,충남,태안군,여,0 ,0 ,0 
2024,ADHD,충남,천안서북구,남,998 ,7964 ,796161330 
2024,ADHD,충남,천안서북구,여,719 ,5302 ,502749760 
2024,ADHD,충남,천안동남구,남,827 ,5392 ,372532850 
2024,ADHD,충남,천안동남구,여,458 ,3217 ,221557010 
2024,ADHD,충남,공주시,남,134 ,954 ,108685240 
2024,ADHD,충남,공주시,여,53 ,237 ,24593560 
2024,ADHD,충남,보령시,남,42 ,259 ,9048490 
2024,ADHD,충남,보령시,여,23 ,142 ,6663690 
2024,ADHD,충남,아산시,남,1561 ,12571 ,636638420 
2024,ADHD,충남,아산시,여,613 ,4219 ,263177690 
2024,ADHD,충남,서산시,남,187 ,1093 ,38356950 
2024,ADHD,충남,서산시,여,74 ,408 ,16281320 
2024,ADHD,충남,논산시,남,66 ,300 ,24510400 
2024,ADHD,충남,논산시,여,21 ,80 ,6918530 
2024,ADHD,충남,계룡시,남,0 ,0 ,0 
2024,ADHD,충남,계룡시,여,0 ,0 ,0 
2024,ADHD,충남,당진시,남,283 ,2000 ,135564050 
2024,ADHD,충남,당진시,여,77 ,466 ,31957040 
2024,ADHD,전북,고창군,남,0 ,0 ,0 
2024,ADHD,전북,고창군,여,0 ,0 ,0 
2024,ADHD,전북,무주군,남,0 ,0 ,0 
2024,ADHD,전북,무주군,여,0 ,0 ,0 
2024,ADHD,전북,부안군,남,10 ,46 ,1720800 
2024,ADHD,전북,부안군,여,0 ,0 ,0 
2024,ADHD,전북,순창군,남,0 ,0 ,0 
2024,ADHD,전북,순창군,여,0 ,0 ,0 
2024,ADHD,전북,완주군,남,113 ,614 ,66094210 
2024,ADHD,전북,완주군,여,69 ,432 ,43889690 
2024,ADHD,전북,임실군,남,0 ,0 ,0 
2024,ADHD,전북,임실군,여,0 ,0 ,0 
2024,ADHD,전북,장수군,남,0 ,0 ,0 
2024,ADHD,전북,장수군,여,0 ,0 ,0 
2024,ADHD,전북,진안군,남,0 ,0 ,0 
2024,ADHD,전북,진안군,여,0 ,0 ,0 
2024,ADHD,전북,군산시,남,376 ,2843 ,246280480 
2024,ADHD,전북,군산시,여,231 ,1346 ,114213130 
2024,ADHD,전북,남원시,남,0 ,0 ,0 
2024,ADHD,전북,남원시,여,0 ,0 ,0 
2024,ADHD,전북,익산시,남,443 ,3060 ,332225050 
2024,ADHD,전북,익산시,여,199 ,1410 ,144094000 
2024,ADHD,전북,전주완산구,남,1113 ,8816 ,590206480 
2024,ADHD,전북,전주완산구,여,737 ,5334 ,424530900 
2024,ADHD,전북,전주덕진구,남,1046 ,6087 ,522104850 
2024,ADHD,전북,전주덕진구,여,464 ,2633 ,221314550 
2024,ADHD,전북,정읍시,남,79 ,416 ,23155120 
2024,ADHD,전북,정읍시,여,28 ,114 ,5187040 
2024,ADHD,전북,김제시,남,56 ,361 ,17689180 
2024,ADHD,전북,김제시,여,14 ,116 ,6148070 
2024,ADHD,전남,강진군,남,15 ,53 ,7226450 
2024,ADHD,전남,강진군,여,13 ,28 ,2727190 
2024,ADHD,전남,고흥군,남,19 ,218 ,13238990 
2024,ADHD,전남,고흥군,여,0 ,0 ,0 
