진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2024,ADHD,서울,은평구,여,0~9세,106 ,623 ,43639360 
2024,ADHD,서울,은평구,여,10~19세,251 ,1792 ,153553080 
2024,ADHD,서울,은평구,여,20~29세,462 ,3201 ,257598260 
2024,ADHD,서울,은평구,여,30~39세,275 ,1949 ,148902530 
2024,ADHD,서울,은평구,여,40~49세,75 ,485 ,33863290 
2024,ADHD,서울,은평구,여,50~59세,19 ,147 ,10393610 
2024,ADHD,서울,은평구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,은평구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,은평구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,은평구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,은평구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,종로구,남,0~9세,553 ,1840 ,171381020 
2024,ADHD,서울,종로구,남,10~19세,874 ,3952 ,481298680 
2024,ADHD,서울,종로구,남,20~29세,464 ,3043 ,299983540 
2024,ADHD,서울,종로구,남,30~39세,299 ,1939 ,210211180 
2024,ADHD,서울,종로구,남,40~49세,64 ,481 ,53920650 
2024,ADHD,서울,종로구,남,50~59세,22 ,112 ,6712220 
2024,ADHD,서울,종로구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,종로구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,종로구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,종로구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,종로구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,종로구,여,0~9세,151 ,412 ,34901120 
2024,ADHD,서울,종로구,여,10~19세,286 ,1386 ,139235400 
2024,ADHD,서울,종로구,여,20~29세,625 ,4084 ,462756990 
2024,ADHD,서울,종로구,여,30~39세,342 ,2661 ,314151500 
2024,ADHD,서울,종로구,여,40~49세,71 ,539 ,59414190 
2024,ADHD,서울,종로구,여,50~59세,23 ,184 ,29066570 
2024,ADHD,서울,종로구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,종로구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,종로구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,종로구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,종로구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,중구,남,0~9세,28 ,185 ,19522640 
2024,ADHD,서울,중구,남,10~19세,107 ,672 ,71731080 
2024,ADHD,서울,중구,남,20~29세,308 ,1862 ,239401720 
2024,ADHD,서울,중구,남,30~39세,331 ,2056 ,284685110 
2024,ADHD,서울,중구,남,40~49세,83 ,465 ,57712550 
2024,ADHD,서울,중구,남,50~59세,12 ,84 ,6885140 
2024,ADHD,서울,중구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,중구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,중구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,중구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,중구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,중구,여,0~9세,0 ,0 ,0 
2024,ADHD,서울,중구,여,10~19세,71 ,378 ,41444970 
2024,ADHD,서울,중구,여,20~29세,580 ,3633 ,469166600 
2024,ADHD,서울,중구,여,30~39세,353 ,2306 ,309981320 
2024,ADHD,서울,중구,여,40~49세,67 ,384 ,44537650 
